"Source","ProjectName","McCC","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NATTR","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","DD","DDD","nbugs","bug"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,5,0.5,0.333333,3,3,1,1,0.333333,3,1,1,0,0,1,6,6,5,6,0,0,1,0,1,0,11,2,0,9,2,6,6,5,6,0,0,1,0,1,0,11,2,0,9,2,1,0.166666666666667,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,3,0.666667,0.621622,23,23,2,1,0.621622,23,6,6,0,0,1,14,27,8,20,1,1,2,0,2,0,51,3,7,51,0,14,27,8,20,1,1,2,0,2,0,51,3,7,51,0,4,0.285714285714286,0,"clean"
"GitHub","antlr4-4.2",23,0,0,0,0,0,0,0,0,1,4,4,61,14,31,13,31,70,0.325,0.251462,86,69,13,27,0.251462,86,1,2,1,1,2,256,391,26,31,20,16,39,18,39,8,63,127,19,63,11,256,391,26,31,20,16,39,18,39,8,63,127,19,63,11,97,0.37890625,0,"clean"
"GitHub","antlr4-4.2",3,0,0,0,0,0,0,0,0,0,1,1,8,8,6,1,5,11,0,0,0,0,0,7,0,0,2,3,0,0,1,46,57,33,33,7,5,6,0,6,0,66,19,19,66,11,46,57,33,33,7,5,6,0,6,0,66,19,19,66,11,24,0.521739130434783,0,"clean"
"GitHub","antlr4-4.2",3,0,0,0,0,0,0,0,0,1,1,1,7,9,4,1,6,11,0,0.0571429,2,2,0,6,0.0571429,2,1,1,0,0,1,33,42,7,9,2,3,5,0,5,0,15,11,0,13,2,33,42,7,9,2,3,5,0,5,0,15,11,0,13,2,13,0.393939393939394,0,"clean"
"GitHub","antlr4-4.2",24,0,0,0,0,0,0,0,0,1,6,4,32,7,1,1,10,19,1,0.409091,81,71,10,0,0.409091,81,1,1,0,0,1,117,216,5,5,5,5,9,0,9,1,9,64,0,9,1,117,216,5,5,5,5,9,0,9,1,9,64,0,9,1,56,0.478632478632479,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,4,8,5,3,4,8,0.2,0.26087,12,11,1,4,0.26087,12,1,1,0,0,1,34,46,7,8,2,2,4,0,4,0,14,7,0,12,2,34,46,7,8,2,2,4,0,4,0,14,7,0,12,2,9,0.264705882352941,0,"clean"
"GitHub","antlr4-4.2",67,0.0400222,1,4,2,0.0285375,0.0434783,24,20,3,4,4,120,32,30,51,53,108,0.566038,0.409722,295,276,30,23,0.390728,295,1,1,2,2,1,425,799,15,35,9,21,55,0,52,8,77,240,1,74,10,460,841,16,35,10,21,63,1,60,8,85,245,2,82,10,167,0.36304347826087,0,"clean"
"GitHub","antlr4-4.2",28,0,0,0,0,0,0,0,0,1,3,3,37,27,4,4,38,48,0.25,0.0967742,18,14,2,6,0.0967742,18,2,2,0,0,1,168,205,23,36,8,5,10,0,7,0,83,85,1,77,10,168,205,23,36,8,5,10,0,7,0,83,85,1,77,10,56,0.333333333333333,0,"clean"
"GitHub","antlr4-4.2",34,0,0,0,0,0,0,0,0,4,4,4,55,12,20,18,10,32,0.304348,0.317757,68,64,7,16,0.317757,68,5,5,1,1,1,146,225,7,19,4,11,22,4,22,0,49,81,7,49,0,146,225,7,19,4,11,22,4,22,0,49,81,7,49,0,97,0.664383561643836,0,"clean"
"GitHub","antlr4-4.2",6,0.309091,1,4,2,0.3125,0.344828,20,20,1,1,1,10,8,1,1,4,9,0.166667,0.107692,7,7,1,5,0.107692,7,1,1,0,0,1,58,64,1,0,1,0,5,0,5,0,5,11,0,5,0,58,64,1,0,1,0,5,0,5,0,5,11,0,5,0,31,0.53448275862069,0,"clean"
"GitHub","antlr4-4.2",4,0,0,0,0,0,0,0,0,0,1,1,13,8,20,14,3,13,0.666667,0.478992,57,57,6,3,0.478992,57,0,0,4,4,0,62,128,5,6,5,6,10,0,8,2,10,21,0,8,2,62,128,5,6,5,6,10,0,8,2,10,21,0,8,2,19,0.306451612903226,0,"clean"
"GitHub","antlr4-4.2",10,0,0,0,0,0,0,0,0,4,2,2,35,12,36,78,7,33,0.481481,0.333333,63,61,13,14,0.331579,63,0,0,2,5,0,126,224,6,16,6,16,26,1,26,4,26,52,1,26,4,127,225,6,16,6,16,26,1,26,4,26,52,1,26,4,35,0.275590551181102,1,"bug"
"GitHub","antlr4-4.2",18,0,0,0,0,0,0,0,0,7,3,3,44,10,28,22,9,36,0.428571,0.27027,50,49,12,16,0.27027,50,4,4,1,2,1,135,200,3,8,3,8,27,3,27,0,27,59,3,27,0,135,200,3,8,3,8,27,3,27,0,27,59,3,27,0,61,0.451851851851852,0,"clean"
"GitHub","antlr4-4.2",58,0,0,0,0,0,0,0,0,1,4,3,91,8,4,40,10,47,0.16129,0.420582,188,149,5,26,0.382524,197,0,0,0,0,0,259,418,6,8,6,8,37,3,30,1,37,160,3,30,1,318,486,10,8,10,8,46,3,37,1,54,181,3,41,1,225,0.707547169811321,0,"clean"
"GitHub","antlr4-4.2",30,0.126113,2,5,2,0.102473,0.139535,29,24,2,2,2,49,3,2,8,1,21,0.375,0.328125,84,71,6,10,0.328125,84,2,2,1,1,1,172,283,11,3,9,3,20,1,15,0,20,93,3,15,0,172,283,11,3,9,3,20,1,15,0,20,93,3,15,0,132,0.767441860465116,0,"clean"
"GitHub","antlr4-4.2",28,0.114865,2,5,2,0.100334,0.123711,30,24,2,2,2,48,7,2,5,8,29,0.0555556,0.250965,65,53,1,17,0.250965,65,2,2,1,1,1,194,299,10,7,8,7,21,0,17,0,21,100,2,17,0,194,299,10,7,8,7,21,0,17,0,21,100,2,17,0,152,0.783505154639175,0,"clean"
"GitHub","antlr4-4.2",11,0,0,0,0,0,0,0,0,2,1,1,19,14,43,27,9,18,0.5,0.406897,59,58,5,5,0.406897,59,0,0,0,0,0,86,167,11,3,11,3,9,11,9,0,9,42,11,9,0,86,167,11,3,11,3,9,11,9,0,9,42,11,9,0,21,0.244186046511628,0,"clean"
"GitHub","antlr4-4.2",14,0,0,0,0,0,0,0,0,1,2,1,26,7,14,22,5,18,0.142857,0.221477,33,28,2,12,0.221477,33,0,0,1,1,0,116,160,5,0,5,0,13,5,13,0,13,52,5,13,0,116,160,5,0,5,0,13,5,13,0,13,52,5,13,0,42,0.362068965517241,0,"clean"
"GitHub","antlr4-4.2",35,0,0,0,0,0,0,0,0,5,2,2,56,12,15,16,10,38,0.137931,0.213675,50,36,4,25,0.196552,57,0,0,1,1,0,184,275,9,2,9,2,28,6,28,1,28,92,6,28,1,233,334,19,8,10,2,37,7,33,1,102,110,10,83,1,66,0.283261802575107,0,"clean"
"GitHub","antlr4-4.2",2,0,0,0,0,0,0,0,0,1,1,1,11,1,2,4,0,10,0.1,0.0784314,4,4,1,9,0.0784314,4,0,0,0,0,0,47,58,4,1,4,1,10,0,9,2,10,15,0,9,2,47,58,4,1,4,1,10,0,9,2,10,15,0,9,2,6,0.127659574468085,0,"clean"
"GitHub","antlr4-4.2",125,0,0,0,0,0,0,0,0,1,5,5,139,44,6,15,31,46,0.25,0.152801,90,43,1,3,0.152801,90,0,0,0,0,0,499,688,7,0,7,0,15,2,3,0,15,363,2,3,0,499,688,7,0,7,0,15,2,3,0,15,363,2,3,0,575,1.15230460921844,0,"clean"
"GitHub","antlr4-4.2",108,0,0,0,0,0,0,0,0,1,4,4,119,28,5,27,20,32,0.2,0.0806794,38,22,2,8,0.0806794,38,0,0,0,0,0,433,528,2,5,2,5,12,1,9,0,12,322,1,9,0,433,528,2,5,2,5,12,1,9,0,12,322,1,9,0,475,1.09699769053118,0,"clean"
"GitHub","antlr4-4.2",2,0,0,0,0,0,0,0,0,9,1,1,14,9,8,5,11,24,0.642857,0.445946,66,55,9,5,0.445946,66,0,0,2,4,0,82,167,5,2,5,2,13,4,13,0,13,17,4,13,0,82,167,5,2,5,2,13,4,13,0,13,17,4,13,0,30,0.365853658536585,0,"clean"
"GitHub","antlr4-4.2",4,0,0,0,0,0,0,0,0,2,2,1,17,3,74,59,1,15,0.0666667,0.437086,66,64,1,14,0.437086,66,0,0,7,14,0,85,114,22,3,22,3,14,21,14,2,14,20,21,14,2,85,114,22,3,22,3,14,21,14,2,14,20,21,14,2,20,0.235294117647059,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,1,2,6,2,1,2,0.5,0.444444,4,4,1,1,0.444444,4,1,1,2,2,1,5,7,13,1,0,0,1,0,1,0,6,1,13,5,0,5,7,13,1,0,0,1,0,1,0,6,1,13,5,0,1,0.2,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,3,0,0,6,3,11,5,1,7,0,0.0625,2,0,0,7,0.0625,2,1,1,0,0,1,30,36,16,1,3,1,6,3,6,0,9,9,16,8,0,30,36,16,1,3,1,6,3,6,0,9,9,16,8,0,8,0.266666666666667,0,"clean"
"GitHub","antlr4-4.2",12,0.135531,1,4,1,0.12766,0.147059,12,10,1,2,2,19,2,2,6,3,11,0.111111,0.180723,15,11,1,8,0.180723,15,1,1,0,0,1,68,94,8,5,2,2,8,2,8,0,28,37,7,23,0,68,94,8,5,2,2,8,2,8,0,28,37,7,23,0,34,0.5,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,1,0,0,5,4,10,7,2,7,0.166667,0.08,2,2,1,5,0.08,2,1,1,0,0,1,23,29,14,1,1,1,5,1,5,0,8,6,14,7,0,23,29,14,1,1,1,5,1,5,0,8,6,14,7,0,6,0.260869565217391,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0.5,0.4,4,4,1,1,0.4,4,3,3,0,0,1,6,8,25,3,0,1,1,0,1,0,14,1,24,14,2,6,8,25,3,0,1,1,0,1,0,14,1,24,14,2,0,0,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0.5,0.4,4,4,1,1,0.4,4,1,1,0,0,1,6,8,22,3,0,1,1,0,1,0,14,1,21,14,2,6,8,22,3,0,1,1,0,1,0,14,1,21,14,2,0,0,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0,1,0.5,0.125,1,1,1,1,0.125,1,1,1,0,0,1,7,8,23,3,1,1,1,1,1,0,14,1,22,14,2,7,8,23,3,1,1,1,1,1,0,14,1,22,14,2,0,0,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,1,0.25,1,1,1,0,0.25,1,2,2,3,3,1,3,3,25,3,1,0,0,1,0,0,14,0,24,14,2,3,3,25,3,1,0,0,1,0,0,14,0,24,14,2,0,0,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,1,0,0,1,1,4,7,1,4,4,24,3,2,0,0,2,0,0,14,0,23,14,2,4,4,24,3,2,0,0,2,0,0,14,0,23,14,2,0,0,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,4,0,0,7,2,1,0,1,8,0,0,0,0,0,8,0,0,2,2,0,0,1,27,33,8,7,0,2,7,0,7,0,34,7,7,28,0,27,33,8,7,0,2,7,0,7,0,34,7,7,28,0,1,0.037037037037037,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,3,0,0,5,3,5,3,1,6,0,0,0,0,0,6,0,0,1,1,0,0,1,18,22,13,1,0,1,5,0,5,0,8,5,13,7,0,18,22,13,1,0,1,5,0,5,0,8,5,13,7,0,1,0.0555555555555556,0,"clean"
"GitHub","antlr4-4.2",27,0,0,0,0,0,0,0,0,1,7,5,31,16,3,4,18,23,0.6,0.411483,86,77,3,2,0.411483,86,0,0,0,0,0,123,221,2,1,2,1,5,2,4,0,5,75,2,4,0,123,221,2,1,2,1,5,2,4,0,5,75,2,4,0,109,0.886178861788618,0,"clean"
"GitHub","antlr4-4.2",8,0,0,0,0,0,0,0,0,1,2,1,16,10,1,4,8,17,0,0.0133333,1,1,0,9,0.0133333,1,1,1,0,0,1,74,88,7,0,2,0,9,1,8,0,22,35,6,21,0,74,88,7,0,2,0,9,1,8,0,22,35,6,21,0,40,0.540540540540541,0,"clean"
"GitHub","antlr4-4.2",76,0,0,0,0,0,0,0,0,1,4,4,104,28,10,19,39,68,0.142857,0.274707,164,75,2,12,0.286859,179,1,1,1,1,1,433,693,17,11,12,9,29,6,13,2,41,246,10,25,2,445,706,21,11,16,9,30,6,13,2,42,250,10,25,2,284,0.638202247191011,1,"bug"
"GitHub","antlr4-4.2",15,0,0,0,0,0,0,0,0,1,4,3,21,8,3,3,10,17,0.75,0.51497,86,86,6,2,0.51497,86,0,0,0,0,0,81,171,2,1,2,1,7,0,7,0,7,44,0,7,0,81,171,2,1,2,1,7,0,7,0,7,44,0,7,0,58,0.716049382716049,0,"clean"
"GitHub","antlr4-4.2",3,0.25,1,3,1,0.148649,0.238095,11,10,2,2,1,10,5,3,3,4,12,0.666667,0.416667,30,30,6,3,0.416667,30,1,1,0,0,1,42,74,1,2,1,2,8,0,8,0,8,15,0,8,0,42,74,1,2,1,2,8,0,8,0,8,15,0,8,0,12,0.285714285714286,0,"clean"
"GitHub","antlr4-4.2",4,0,0,0,0,0,0,0,0,2,2,1,11,6,3,4,4,12,0.777778,0.54,54,54,7,2,0.54,54,1,1,0,0,1,46,96,2,3,2,3,8,0,8,0,8,18,0,8,0,46,96,2,3,2,3,8,0,8,0,8,18,0,8,0,17,0.369565217391304,0,"clean"
"GitHub","antlr4-4.2",4,0,0,0,0,0,0,0,0,2,2,1,11,5,1,2,6,14,0.777778,0.54902,56,55,7,2,0.54902,56,1,1,0,0,1,46,99,2,3,2,3,8,0,8,0,8,17,0,8,0,46,99,2,3,2,3,8,0,8,0,8,17,0,8,0,14,0.304347826086957,0,"clean"
"GitHub","antlr4-4.2",3,0.25,1,3,1,0.148649,0.238095,11,10,2,2,1,10,5,3,3,4,12,0.666667,0.416667,30,30,6,3,0.416667,30,1,1,0,0,1,42,74,1,2,1,2,8,0,8,0,8,15,0,8,0,42,74,1,2,1,2,8,0,8,0,8,15,0,8,0,12,0.285714285714286,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,5,0,0,7,5,2,0,4,11,0.571429,0.466667,28,28,4,3,0.466667,28,1,1,0,0,1,32,58,1,1,1,1,7,1,6,0,7,8,1,6,0,32,58,1,1,1,1,7,1,6,0,7,8,1,6,0,3,0.09375,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,5,0,0,7,5,2,0,4,11,0.571429,0.466667,28,28,4,3,0.466667,28,1,1,0,0,1,32,58,1,1,1,1,7,1,6,0,7,8,1,6,0,32,58,1,1,1,1,7,1,6,0,7,8,1,6,0,3,0.09375,0,"clean"
"GitHub","antlr4-4.2",3,0.25,1,3,1,0.148649,0.238095,11,10,2,2,1,10,5,3,3,4,12,0.666667,0.416667,30,30,6,3,0.416667,30,1,1,0,0,1,42,74,1,2,1,2,8,0,8,0,8,15,0,8,0,42,74,1,2,1,2,8,0,8,0,8,15,0,8,0,12,0.285714285714286,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,5,0,0,7,5,2,0,4,11,0.571429,0.466667,28,28,4,3,0.466667,28,1,1,0,0,1,32,58,1,1,1,1,7,1,6,0,7,8,1,6,0,32,58,1,1,1,1,7,1,6,0,7,8,1,6,0,3,0.09375,0,"clean"
"GitHub","antlr4-4.2",3,0.25,1,3,1,0.150685,0.238095,11,10,2,2,1,10,5,3,3,4,12,0.666667,0.408451,29,29,6,3,0.408451,29,1,1,0,0,1,42,73,1,2,1,2,8,0,8,0,8,15,0,8,0,42,73,1,2,1,2,8,0,8,0,8,15,0,8,0,12,0.285714285714286,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,1,0.5,0.125,1,1,1,1,0.125,1,1,1,0,0,1,7,8,23,3,1,1,1,1,1,0,14,1,22,14,2,7,8,23,3,1,1,1,1,1,0,14,1,22,14,2,0,0,0,"clean"
"GitHub","antlr4-4.2",3,0,0,0,0,0,0,0,0,2,0,0,6,6,9,3,3,7,0,0,0,0,0,5,0,0,2,2,0,0,1,19,22,14,2,0,1,4,0,4,0,12,4,14,11,1,19,22,14,2,0,1,4,0,4,0,12,4,14,11,1,9,0.473684210526316,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,3,0.5,0.444444,4,4,1,1,0.285714,4,1,1,0,0,1,5,7,9,2,0,0,1,0,1,0,29,1,6,29,1,10,12,18,5,0,0,2,0,2,0,65,2,9,56,1,0,0,0,"clean"
"GitHub","antlr4-4.2",198,0.0406219,1,6,2,0.031746,0.0431818,46,38,2,6,6,238,42,9,14,87,128,0.25,0.428571,660,434,3,9,0.428571,660,1,1,1,1,1,880,1449,16,15,11,13,41,5,11,1,53,507,9,23,1,880,1449,16,15,11,13,41,5,11,1,53,507,9,23,1,663,0.753409090909091,2,"bug"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,1,3,8,0,0,1,0.5,0.416667,5,5,1,1,0.416667,5,3,3,0,0,1,7,8,26,3,1,1,1,1,1,0,14,1,25,14,2,7,8,26,3,1,1,1,1,1,0,14,1,25,14,2,0,0,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,2,2,0,0,1,6,7,24,3,0,1,1,0,1,0,14,1,23,14,2,6,7,24,3,0,1,1,0,1,0,14,1,23,14,2,0,0,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,3,0,0,6,6,6,3,2,8,0.142857,0.133333,4,4,1,6,0.133333,4,2,2,0,0,1,26,33,14,2,1,2,6,1,6,0,10,7,14,9,0,26,33,14,2,1,2,6,1,6,0,10,7,14,9,0,4,0.153846153846154,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,3,0,0,6,6,8,3,2,8,0.142857,0.194444,7,6,1,6,0.194444,7,2,2,0,0,1,29,36,16,2,3,2,6,3,6,0,10,9,16,9,0,29,36,16,2,3,2,6,3,6,0,10,9,16,9,0,9,0.310344827586207,0,"clean"
"GitHub","antlr4-4.2",105,0,0,0,0,0,0,0,0,4,6,5,128,13,14,55,14,38,0.45,0.310185,201,147,9,11,0.308282,201,0,0,2,3,0,447,693,6,5,6,5,24,5,19,0,24,328,5,19,0,451,697,6,5,6,5,25,5,20,0,25,329,5,20,0,620,1.37472283813747,0,"clean"
"GitHub","antlr4-4.2",3,0,0,0,0,0,0,0,0,1,1,1,5,1,11,1,0,3,0.5,0.321429,9,8,2,2,0.321429,9,0,0,0,0,0,19,27,1,0,1,0,3,0,3,0,3,9,0,3,0,19,27,1,0,1,0,3,0,3,0,3,9,0,3,0,8,0.421052631578947,0,"clean"
"GitHub","antlr4-4.2",2,0,0,0,0,0,0,0,0,1,0,0,6,4,6,5,2,7,0,0,0,0,0,6,0,0,1,1,0,0,1,25,30,15,1,2,1,5,2,5,0,8,7,15,7,0,25,30,15,1,2,1,5,2,5,0,8,7,15,7,0,11,0.44,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,1,2,9,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,1,8,9,24,3,2,1,1,2,1,0,14,1,23,14,2,8,9,24,3,2,1,1,2,1,0,14,1,23,14,2,0,0,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,1,0.5,0.454545,5,5,1,1,0.454545,5,1,1,0,0,1,6,8,22,3,0,1,1,0,1,0,14,1,21,14,2,6,8,22,3,0,1,1,0,1,0,14,1,21,14,2,0,0,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,2,0,0,5,4,17,2,1,6,0.333333,0.195122,8,7,2,4,0.195122,8,1,1,0,0,1,33,46,16,1,3,1,5,3,5,0,8,8,16,7,0,33,46,16,1,3,1,5,3,5,0,8,8,16,7,0,7,0.212121212121212,0,"clean"
"GitHub","antlr4-4.2",50,0.155614,1,8,2,0.0626632,0.0769231,24,20,3,3,3,19,5,12,11,2,7,0.8,0.516854,46,46,4,1,0.228487,77,0,0,4,4,0,43,104,1,0,1,0,5,1,4,0,5,31,1,4,0,260,383,7,0,7,0,31,7,28,0,47,155,7,40,0,147,0.565384615384615,0,"clean"
"GitHub","antlr4-4.2",2,0,0,0,0,0,0,0,0,1,1,1,6,6,11,10,4,9,0.333333,0.0740741,2,2,2,4,0.0740741,2,1,1,1,1,1,25,31,14,1,1,1,5,1,5,1,8,8,14,7,1,25,31,14,1,1,1,5,1,5,1,8,8,14,7,1,6,0.24,0,"clean"
"GitHub","antlr4-4.2",12,0.186869,1,4,1,0.181818,0.178571,12,10,2,2,2,18,2,7,9,5,12,0,0.0344828,2,0,0,7,0.0344828,2,1,1,1,1,1,56,66,8,5,2,2,7,2,6,0,27,26,7,21,0,56,66,8,5,2,2,7,2,6,0,27,26,7,21,0,25,0.446428571428571,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,1,0.5,0.142857,1,1,1,1,0.142857,1,3,3,0,0,1,6,7,25,3,0,1,1,0,1,0,14,1,24,14,2,6,7,25,3,0,1,1,0,1,0,14,1,24,14,2,0,0,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,1,3,11,0,0,1,0,0.555556,10,10,0,2,0.555556,10,2,2,0,0,1,8,20,26,3,2,1,1,2,1,0,14,1,25,14,2,8,20,26,3,2,1,1,2,1,0,14,1,25,14,2,0,0,0,"clean"
"GitHub","antlr4-4.2",1,0,0,0,0,0,0,0,0,0,0,0,2,3,6,0,1,3,0,0,0,0,0,3,0,0,1,1,0,0,1,9,10,22,4,0,2,2,0,2,0,15,2,21,15,2,9,10,22,4,0,2,2,0,2,0,15,2,21,15,2,0,0,0,"clean"
